IncumplimientoPago,UsoCreditoDisponible,EdadCliente,Retrasos30_59Dias,PorcentajeDeDeuda,IngresoMensual,LineasCreditoActivas,Retrasos90DiasOMas,PrestamosInmobiliarios,Retrasos60_89Dias,CantidadDependientes
1,0.418538579,47,0,1.087703912,5700.0,25,0,7,0,4.0
0,0.359368195,52,0,0.247432052,11000.0,14,0,1,0,0.0
1,0.958417971,52,4,0.381881676,9735.0,15,0,1,0,0.0
1,0.508745627,52,2,0.189944134,3400.0,5,0,0,0,0.0
1,1.053209678,58,3,0.098159162,17654.0,9,2,0,4,0.0
1,0.9999999,30,98,0.0,800.0,0,98,0,98,0.0
0,0.19594065,32,1,0.597915762,2302.0,3,0,1,1,1.0
1,0.993820429,34,0,0.693608152,4317.0,7,0,2,0,2.0
1,0.9999999,34,0,0.254256527,6166.0,5,1,1,1,2.0
0,0.143964118,68,0,0.163315187,9000.0,13,0,1,0,0.0
0,0.69616298,42,3,0.241708314,2200.0,4,0,0,0,2.0
1,0.9999999,65,1,702.0,,3,1,0,0,0.0
1,0.9999999,26,98,0.0,674.0,0,98,0,98,1.0
0,0.025132914,56,0,0.169360506,11383.0,6,0,1,0,0.0
1,0.9999999,35,0,456.0,,2,1,0,0,
0,0.04963112,44,1,2942.0,,10,0,2,0,0.0
0,0.9999999,63,0,2.556068602,1515.0,3,0,2,0,1.0
1,0.62245918,41,0,0.036762335,3100.0,3,0,0,1,0.0
1,0.725552903,66,3,0.222566056,4200.0,13,1,0,1,1.0
1,0.599734721,34,0,0.120646559,6000.0,6,0,0,0,1.0
1,0.067752545,61,0,0.389902524,4000.0,13,0,2,1,0.0
0,0.02551949,68,0,1551.0,,8,0,1,0,0.0
0,0.404085131,44,0,0.381292396,2800.0,4,0,0,0,2.0
0,0.441685653,51,0,0.086241102,8568.0,10,0,0,0,2.0
1,0.9999999,39,0,36.0,,0,3,0,0,0.0
1,0.015025403,56,0,3359.0,,12,0,2,0,1.0
0,0.051414129,81,0,0.317993457,4584.0,11,0,2,0,0.0
0,0.008966368,53,0,0.825335215,2833.0,16,0,2,0,2.0
1,1.01045781,36,0,0.478634091,10600.0,22,0,2,0,1.0
1,0.969048959,38,0,0.553968254,5669.0,8,0,2,0,2.0
0,0.003826123,81,1,0.178688759,7000.0,18,0,2,0,0.0
0,0.907995303,44,0,0.472131967,4000.0,21,0,0,1,2.0
1,0.735470578,46,1,0.425290462,3700.0,6,0,1,0,2.0
0,0.787591837,71,0,0.371157211,4000.0,5,0,1,0,0.0
0,0.9999999,54,0,2613.0,,5,0,2,0,0.0
0,0.024123612,70,0,0.004544628,5500.0,8,0,0,0,0.0
0,0.620277564,52,0,0.079684896,6600.0,3,0,0,0,4.0
0,0.125579377,38,0,0.819836033,5000.0,9,0,3,0,0.0
0,0.043573267,33,0,0.058470984,6840.0,14,0,0,0,0.0
0,0.204069189,59,0,0.695372751,2333.0,16,0,2,0,0.0
0,0.516903196,43,0,0.259891389,3866.0,11,0,0,0,1.0
1,0.9999999,56,0,0.0,637.0,0,0,0,0,0.0
0,0.359128074,46,1,0.144616027,9583.0,7,0,0,0,1.0
0,0.296200447,56,0,1172.0,,5,0,1,0,0.0
0,0.9999999,25,0,28.0,,1,0,0,0,0.0
0,0.500249989,33,0,0.14738304,11520.0,10,0,0,0,2.0
0,0.081523138,55,0,4.094311377,667.0,8,0,2,0,0.0
0,0.002264661,63,0,0.00159936,2500.0,12,0,0,0,1.0
0,0.183127417,48,0,0.378969654,4250.0,12,0,2,0,0.0
0,0.0,60,0,0.0,,2,0,0,0,0.0
1,0.992695554,29,4,0.387522496,5000.0,13,0,0,0,0.0
1,1.00842972,26,0,0.037536801,4075.0,4,0,0,2,1.0
0,0.9999999,32,1,0.099484536,3879.0,2,15,0,0,3.0
0,0.574071946,35,0,0.379942433,6600.0,4,0,1,0,1.0
0,0.010581412,57,0,0.233114447,10659.0,15,0,2,0,0.0
1,0.540378101,54,0,0.527795128,1600.0,9,0,0,0,1.0
1,0.415536529,49,1,0.212504869,5133.0,11,1,0,0,2.0
1,1.023433078,46,6,0.18219523,6750.0,8,3,0,2,1.0
1,0.6961013,30,0,0.151739452,1350.0,3,0,0,0,1.0
0,0.0,63,0,0.0,3097.0,1,0,0,0,0.0
0,0.035708891,67,0,0.46832473,2130.0,8,0,1,0,0.0
0,0.007866142,62,0,3.0,,3,0,0,0,
1,0.097462953,51,1,4601.0,,23,0,2,0,0.0
1,0.236067721,72,0,0.383360766,13365.0,10,0,3,0,0.0
1,0.905167877,74,2,0.450144808,7250.0,7,0,2,0,0.0
1,0.500304966,43,0,0.380252358,8162.0,12,0,1,0,2.0
1,0.752808989,26,2,217.0,,6,0,0,0,
0,0.814582054,33,0,1.049916007,4166.0,8,0,1,0,0.0
1,0.018024904,52,0,0.220169361,5195.0,9,0,1,1,0.0
1,1.048625312,39,4,0.226548673,5084.0,5,2,0,1,4.0
1,0.684755471,83,1,1494.0,,26,0,0,1,0.0
0,0.066750568,66,0,0.274023126,10031.0,14,0,2,0,0.0
0,0.14687257,58,0,3823.0,,7,1,2,0,0.0
1,0.952015995,61,2,613.0,,5,0,0,2,0.0
1,0.9999999,32,1,0.446166621,7225.0,6,0,0,0,1.0
0,0.0,40,1,0.144798042,8169.0,9,0,0,0,1.0
1,0.997015168,56,1,0.447650336,7000.0,14,1,2,0,0.0
0,0.047135943,73,0,1.080816497,4800.0,10,0,2,0,0.0
1,0.655344655,26,1,824.0,,4,0,0,1,0.0
1,0.939415882,45,0,0.1264058,10758.0,11,0,0,0,1.0
0,0.086648799,58,0,0.147510094,3714.0,8,0,0,0,0.0
0,0.889515719,57,0,0.42814104,8961.0,8,0,1,0,0.0
1,0.980089466,35,0,0.447496677,6770.0,13,0,2,0,1.0
0,0.325568107,73,0,0.133236152,6859.0,8,0,1,0,0.0
0,0.117363562,66,0,0.578457213,5690.0,13,0,1,0,0.0
0,0.958141755,39,0,1.052236941,4000.0,10,0,2,0,0.0
0,0.071392028,42,0,0.179382062,10000.0,3,0,1,0,3.0
0,0.089587079,52,0,1994.0,,6,0,1,0,
0,0.688037436,43,2,0.420405274,11300.0,12,0,2,0,2.0
1,0.030975453,67,0,45.0,0.0,8,0,0,0,0.0
